country,player_name,player_club,in_top_5_league,player_age,market_value,market_value_int
Palestine,Ameed Mahajneh,Al-Rayyan SC,False,29,€175k,175000
Palestine,Khalid Abu El Haija,1.FC Nuremberg II,False,20,€150k,150000
Palestine,Yaser Hamed,Al-Khor SC,False,28,€125k,125000
Palestine,Wajdi Nabhan,Al-Wehdat SC,False,24,€300k,300000
Palestine,Ahmed Taha,SC Kfar Qasem,False,24,€225k,225000
Palestine,Emilio Saba,Sport Boys Association,False,24,€375k,375000
Palestine,Mus'ab Al-Batat,Qatar SC,False,32,€175k,175000
Palestine,Ameed Sawafta,El Masry SC,False,25,€250k,250000
Palestine,Oday Kharoub,Negeri Sembilan FC,False,33,€200k,200000
Palestine,Hamed Hamdan,Pyramids FC,False,25,€400k,400000
Palestine,Ahmad Al-Qaq,Sporting Club Jacksonville,False,24,€100k,100000
Palestine,Moustafa Zeidan,El Masry SC,False,27,€450k,450000
Palestine,Badr Mousa,Petrojet,False,26,€250k,250000
Palestine,Mahmoud Abu Warda,Al-Tahaddy SC,False,30,€250k,250000
Palestine,Tamer Seyam,Al-Shamal SC,False,33,€200k,200000
Palestine,Oday Dabbagh,Zamalek SC,False,27,€1.20m,1200000
Palestine,Zaid Qunbar,Al-Arabi SC (Kuwait),False,23,€400k,400000
Palestine,Khaled Al-Nabris,Ismaily SC,False,22,€150k,150000
Bahamas,Vance Wheaton,Westside SC Renegades FC,False,20,,0
Bahamas,Atarri Moss,UnknownUnknown,False,18,,0
Bahamas,Justin Minns,College of the Bahamas,False,23,,0
Bahamas,Junior Kelly,College of the Bahamas,False,20,,0
Bahamas,Omar Chemaly,Darlington School Soccer Academy,False,17,,0
Bahamas,Jean Tilo,Buffalo Stallions,False,23,,0
Bahamas,Jordan Cheetham,South Carolina Gamecocks (University of SC),False,19,,0
Bahamas,Jonathan Miller,AC Raleigh,False,27,,0
Bahamas,William Gardiner,Tampa Spartans (University of Tampa Athletics),False,19,,0
Bahamas,Lance Carroll,Darlington School Soccer Academy,False,17,,0
Bahamas,Kevin Thomas,College of the Bahamas,False,20,,0
Bahamas,Jack Massey,Westside SC Renegades FC,False,18,,0
Bahamas,Lamond Cross,UnknownUnknown,False,21,,0
Bahamas,Joshua Anton,College of the Bahamas,False,22,,0
Bahamas,Reuben Edgecombe,Western Warriors,False,18,,0
Bahamas,André Roberts,Western Warriors,False,25,,0
Bahamas,William Bayles,Graham Street Prims,False,22,,0
Bahamas,Nicolás López,Westside SC Renegades FC,False,22,,0
Bahamas,Lothario Milfrise,Douglas College Royals,False,22,,0
Bahamas,Marcel Joseph,Without ClubWithout Club,False,28,,0
Bahamas,Nathan Walker,UnknownUnknown,False,17,,0
Bonaire,Zito Abdul,FC Emmen U21,False,-,,0
Bonaire,Denyor Cicilia,NEC Nijmegen U19,False,18,,0
Bonaire,Rik Letteboer,SV Vitesse,False,40,,0
Bonaire,Shedwin Martina,VV Heerjansdam,False,22,,0
Bonaire,Amir Winklaar,Real Rincon,False,20,,0
Bonaire,Dylan Bernadina,UnknownUnknown,False,28,,0
Bonaire,Jevairo Pengel,HSV Hoek,False,22,,0
Bonaire,Berry Sonnenschein,SV Vitesse,False,32,,0
Bonaire,Railey Martijn,TOGB Berkel,False,26,,0
Bonaire,Timothy Muller,Almere City FC U19,False,18,,0
Bonaire,Marshelon Pourier,VV Hoogeveen,False,23,,0
Bonaire,Sharenhyo Jimenez,DTA Fortius Youth,False,19,,0
Bonaire,Adrian Serberie,SV Estrellas,False,34,,0
Bonaire,Dangemir Cicilia,SV Vitesse,False,22,,0
Bonaire,Jonathan Libiana,Real Rincon,False,24,,0
Bonaire,Ninho Gerardo Felicia,FC Dordrecht U21,False,19,,0
Bonaire,Rowendley Martijn,TOGB Berkel,False,27,,0
Bonaire,Richajier Oleana,Real Rincon,False,25,,0
Bonaire,Jort van der Sande,SC Cambuur Leeuwarden,False,30,€350k,350000
Bonaire,Freadyen Michiel,Life Running Eagles (Life University),False,19,,0
Bonaire,Ayrton Cicilia,Without ClubWithout Club,False,25,,0
Bonaire,Nathan van Arneman,Real Rincon,False,30,,0
Barbados,Jireh Malcolm,Paradise FC (Barbados),False,19,,0
Barbados,Justin Griffith,Without ClubWithout Club,False,21,,0
Barbados,Shaquan Phillips,Weymouth Wales,False,24,,0
Barbados,Tyrique Bailey,UCU Bulldogs (Union Commonwealth Univ.),False,21,,0
Barbados,Kamari Johnson,Kickstart Rush,False,18,,0
Barbados,Lemar Catlyn,Shaw Bears (Shaw University),False,23,,0
Barbados,Romario Small,Central FC,False,31,,0
Barbados,Jayden Goodridge,UnknownUnknown,False,21,,0
Barbados,Nicoli Brathwaite,Weymouth Wales,False,25,,0
Barbados,Andre Applewhaite,Connecticut United FC,False,23,,0
Barbados,Ricardio Morris,Weymouth Wales,False,32,,0
Barbados,Carl Hinkson,UnknownUnknown,False,28,,0
Barbados,Mario Williams,AC Port of Spain,False,33,,0
Barbados,Jaheim Neblett,Weymouth Wales,False,23,,0
Barbados,Shamari Harewood,University of the West Indies,False,19,,0
Barbados,Jaylan Gilkes,Barbados Soccer Academy,False,23,,0
Barbados,Sekani Mayers,UnknownUnknown,False,27,,0
Barbados,Sheran Hoyte,Central FC,False,26,,0
Barbados,Niall Reid-Stephen,New Mexico United,False,24,€200k,200000
Barbados,Tajio James,NK Radnik Krizevci,False,22,,0
Barbados,Omani Leacock,Waterhouse FC,False,27,,0
Barbados,Devonte Richards,Central Arkansas Bears (University of Central AR),False,23,,0
Barbados,Khimani Cox,Paradise FC (Barbados),False,21,,0
Puerto Rico,Joel Serrano,Academia Quintana,False,26,€25k,25000
Puerto Rico,Sebastián Cutler,Villanova Wildcats (Villanova University),False,22,,0
Puerto Rico,Nicolás Aristizábal,Austin FC Academy,False,17,,0
Puerto Rico,Beto Ydrach,Pittsburgh Riverhounds SC,False,24,€175k,175000
Puerto Rico,Rodolfo Sulia,Academia Quintana,False,24,€50k,50000
Puerto Rico,David Marrero,Puerto Rico Surf,False,20,,0
Puerto Rico,Nicolás Cardona,El Paso Locomotive FC,False,27,€175k,175000
Puerto Rico,Gio Calderón,Real Monarchs SLC,False,24,,0
Puerto Rico,Sidney Paris,St. Louis CITY SC 2,False,23,,0
Puerto Rico,Diego Rossi,NK Istra 1961,False,20,,0
Puerto Rico,Adrián Biaggi,UIC Flames (University of Illinois at Chicago),False,20,,0
Puerto Rico,Steven Echevarria,Colorado Springs Switchbacks FC,False,29,€150k,150000
Puerto Rico,Isaac Angking,Rhode Island FC,False,26,€75k,75000
Puerto Rico,Gerald Díaz,Miami FC,False,26,€75k,75000
Puerto Rico,Nacho Antonetti,Burgos CF U19,False,18,,0
Puerto Rico,Juan O'Neill,Academia Quintana,False,27,,0
Puerto Rico,Darren Ríos,Lüner SV,False,30,,0
Puerto Rico,Jeremy de León,Hércules CF,False,21,€200k,200000
Puerto Rico,Noeh Hernández,DePaul Blue Demons (DePaul University),False,21,,0
Puerto Rico,Leandro Antonetti,CF Estrela Amadora,False,23,€200k,200000
Puerto Rico,Wilfredo Rivera,CA Barracas Central,False,22,€100k,100000
Puerto Rico,Ricardo Rivera,Academia Quintana,False,28,€50k,50000
Cook Islands,Tahiri Elikana,,False,37,,0
Cook Islands,Ine Maro,UnknownUnknown,False,20,,0
Cook Islands,Tyson Tekeu,Without ClubWithout Club,False,-,,0
Cook Islands,Orin Prattley,Brooklyn Northern United AFC,False,28,,0
Cook Islands,Tamaiva Mateariki,Tupapa Maraerenga,False,27,,0
Cook Islands,Dwayne Tiputoa,Tupapa Maraerenga,False,28,,0
Cook Islands,John Noovao,Tupapa Maraerenga,False,21,,0
Cook Islands,Tremaine Rimene-Albrett,Tupapa Maraerenga,False,23,,0
Cook Islands,Emiel Burrow,Oratia United AFC,False,33,,0
Cook Islands,Thane Beal,Westvale SC,False,28,,0
Cook Islands,Ngametua Tuakana,Tupapa Maraerenga,False,21,,0
Cook Islands,Paavo Mustonen,Tupapa Maraerenga,False,36,,0
Cook Islands,Tacettin Kumsuz,University of New South Wales FC,False,27,,0
Cook Islands,Grover Harmon,Tupapa Maraerenga,False,36,,0
Cook Islands,Oscar Wichman,Tupapa Maraerenga,False,20,,0
Cook Islands,Taylor Saghabi,Tupapa Maraerenga,False,35,,0
Cook Islands,Siaosi Kaufononga,Tupapa Maraerenga,False,31,,0
Cook Islands,Tupaia Ringi,Belconnen United FC,False,22,,0
Cook Islands,Josh Karika,Oratia United AFC,False,36,,0
Philippines,Kevin Ray Mendoza,Chonburi FC,False,31,€300k,300000
Philippines,Quincy Kammeraad,Kuala Lumpur City FC,False,25,€200k,200000
Philippines,Nicholas Guimarães,Juntendo University,False,19,,0
Philippines,Jefferson Tabinas,Chonburi FC,False,27,€300k,300000
Philippines,Amani Aguinaldo,Brunei DPMM FC,False,30,€175k,175000
Philippines,Kike Linares,Chonburi FC,False,26,€150k,150000
Philippines,Noah Leddel,Ayutthaya United,False,22,€125k,125000
Philippines,Josef Baccay,Odds BK,False,24,€300k,300000
Philippines,Scott Woods,Kuching City,False,25,€175k,175000
Philippines,Paul Tabinas,GNK Dinamo Zagreb,False,23,€200k,200000
Philippines,Manuel Ott,Rayong FC,False,33,€200k,200000
Philippines,Oskari Kekkonen,Lamphun Warriors,False,26,€125k,125000
Philippines,John Lucero,Kanchanaburi Power FC,False,22,€125k,125000
Philippines,Randy Schneider,FC Winterthur,False,24,€450k,450000
Philippines,Sandro Reyes,FC Gütersloh,False,22,€100k,100000
Philippines,Dylan Demuynck,K Lierse SK,False,21,€200k,200000
Philippines,André Leipold,Helmond Sport,False,24,€250k,250000
Philippines,Alex Monis,Connecticut United FC,False,22,€200k,200000
Philippines,Bjørn Martin Kristensen,KFUM-Kameratene Oslo,False,23,€300k,300000
Philippines,Jarvey Gayoso,Bangkok FC,False,29,€150k,150000
Philippines,Sebastian Beraque,Hobro IK II,False,23,€25k,25000
Albania,Thomas Strakosha,AEK Athens,False,30,€3.00m,3000000
Albania,Simon Simoni,1.FC Kaiserslautern,False,21,€600k,600000
Albania,Mario Dajsinani,KF Egnatia,False,27,€600k,600000
Albania,Ardian Ismajli,Torino FC,False,29,€6.00m,6000000
Albania,Berat Djimsiti,Atalanta BC,False,33,€5.00m,5000000
Albania,Klisman Cake,Akhmat Grozny,False,26,€700k,700000
Albania,Arlind Ajeti,Bodrum FK,False,32,€650k,650000
Albania,Naser Aliji,FC Dinamo City,False,32,€350k,350000
Albania,Mario Mitaj,Al-Ittihad Club,False,22,€5.50m,5500000
Albania,Elseid Hysaj,SS Lazio,False,32,€1.50m,1500000
Albania,Iván Balliu,Rayo Vallecano,True,34,€1.20m,1200000
Albania,Kristjan Asllani,Besiktas JK,False,23,€13.00m,13000000
Albania,Juljan Shehu,Widzew Lodz,False,27,€3.50m,3500000
Albania,Ylber Ramadani,US Lecce,False,29,€1.80m,1800000
Albania,Adrion Pajaziti,HNK Hajduk Split,False,23,€1.50m,1500000
Albania,Medon Berisha,US Lecce,False,22,€6.00m,6000000
Albania,Qazim Laci,Caykur Rizespor,False,30,€2.80m,2800000
Albania,Nedim Bajrami,Rangers FC,False,27,€2.50m,2500000
Albania,Myrto Uzuni,Austin FC,False,30,€5.00m,5000000
Albania,Arbër Hoxha,GNK Dinamo Zagreb,False,27,€2.50m,2500000
Albania,Jasir Asani,Esteghlal FC,False,30,€1.80m,1800000
Albania,Mirlind Daku,Rubin Kazan,False,28,€10.00m,10000000
Albania,Armando Broja,Burnley FC,True,24,€10.00m,10000000
Albania,Rey Manaj,Sivasspor,False,29,€2.50m,2500000
Albania,Indrit Tuci,Kayserispor,False,25,€700k,700000
Lebanon,Mostafa Matar,Nejmeh SC,False,30,€350k,350000
